"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 23 16:57:17 UTC 2026","Mon Feb 23 16:57:20 UTC 2026","3178","tests.ui.navigation_tab","test_navigation_tab","TestNavigationTabPage","","","test_home_tab","
SMOKE — Verify Home tab navigates to the Salesforce Home page.

Asserts: URL contains 'lightning' after clicking Home tab.
"
"passed","Mon Feb 23 17:00:59 UTC 2026","Mon Feb 23 17:00:59 UTC 2026","76","tests.ui.navigation_tab","test_navigation_tab","TestNavigationTabPage","","","test_policies_tab","
SMOKE — Verify Policies tab navigates to the Policies section.

Asserts: URL contains 'lightning'.
"
"passed","Mon Feb 23 17:03:30 UTC 2026","Mon Feb 23 17:03:31 UTC 2026","853","tests.ui.login","test_login","","","","test_login_invalid_username","
REGRESSION — Verify that an invalid username shows the correct Salesforce error.

Uses a raw browser (not pre-logged-in) to test the error state.
Expected error: ""Error: Please check your username and password...""

Fixture: setup_browser (unauthenticated browser)
"
"passed","Mon Feb 23 16:58:37 UTC 2026","Mon Feb 23 16:58:38 UTC 2026","267","tests.ui.navigation_tab","test_navigation_tab","TestNavigationTabPage","","","test_contacts_tab","
SMOKE — Verify Contacts tab navigates to the Contacts section.

Asserts: URL contains 'Contact' or 'lightning'.
"
"passed","Mon Feb 23 17:01:06 UTC 2026","Mon Feb 23 17:01:06 UTC 2026","69","tests.ui.navigation_tab","test_navigation_tab","TestNavigationTabPage","","","test_dashboards_tab","
SMOKE — Verify Dashboards tab navigates to the Dashboards section.

Asserts: URL contains 'Dashboard' or 'lightning'.
Note: Uses force=True in the page object due to Salesforce overlay behavior.
"
"passed","Mon Feb 23 16:59:48 UTC 2026","Mon Feb 23 16:59:48 UTC 2026","122","tests.ui.navigation_tab","test_navigation_tab","TestNavigationTabPage","","","test_mypartners_tab","
SMOKE — Verify My Partners tab navigates to the My Partners section.

Asserts: URL contains 'lightning'.
"
"passed","Mon Feb 23 17:03:30 UTC 2026","Mon Feb 23 17:03:30 UTC 2026","1","tests.ui.e2e","test_submission_flow","TestSubmissionFlow","","","Full submission flow - new account to sold",""
"passed","Mon Feb 23 17:03:33 UTC 2026","Mon Feb 23 17:03:34 UTC 2026","1052","tests.ui.login","test_login","","","","test_login_empty_password","
REGRESSION — Verify that submitting an empty password shows the correct error.

Salesforce shows a different, shorter error for blank password submissions.
Expected error: ""Error: Please enter your password.""

Fixture: setup_browser (unauthenticated browser)
"
"passed","Mon Feb 23 16:58:32 UTC 2026","Mon Feb 23 16:58:32 UTC 2026","52","tests.ui.navigation_tab","test_navigation_tab","TestNavigationTabPage","","","test_accounts_tab","
SMOKE — Verify Accounts tab navigates to the Accounts section.

Asserts: URL contains 'Account', 'one.app', or 'New_Business_Flow'
(Salesforce may redirect to a business flow modal on first click).
"
"passed","Mon Feb 23 16:56:06 UTC 2026","Mon Feb 23 16:56:06 UTC 2026","14","tests.ui.login","test_login","","","","test_login_valid_credentials","
SMOKE — Verify that a valid username and password logs into the app successfully.

Uses the 'login' fixture which handles the full login flow including TOTP.
Asserts that the 'My Agency' nav element is visible — confirming the user
is on the authenticated Salesforce home page.

Fixture: login (already logged in)
"
"passed","Mon Feb 23 17:02:18 UTC 2026","Mon Feb 23 17:02:18 UTC 2026","31","tests.ui.navigation_tab","test_navigation_tab","TestNavigationTabPage","","","test_tasks_tab","
SMOKE — Verify Tasks tab navigates to the Tasks section.

Asserts: URL contains 'Task' or 'lightning'.
Note: Uses force=True in the page object due to Salesforce overlay behavior.
"
"passed","Mon Feb 23 17:03:32 UTC 2026","Mon Feb 23 17:03:33 UTC 2026","1047","tests.ui.login","test_login","","","","test_login_invalid_password","
REGRESSION — Verify that an invalid password shows the correct Salesforce error.

Uses the real username from config but a wrong password.
Expected error: ""Error: Please check your username and password...""

Fixture: setup_browser (unauthenticated browser)
"
